"region_code","region_name","region_name_ru","parent_code"
"ABW","Aruba","Аруба","LCR"
"AFG","Afghanistan","Афганистан","SAR"
"AGO","Angola","Ангола","SSF"
"ALB","Albania","Албания","ECA"
"AND","Andorra","Андорра","ECA"
"ARE","United Arab Emirates","Объединенные Арабские Эмираты","MNA"
"ARG","Argentina","Аргентина","LCR"
"ARM","Armenia","Армения","ECA"
"ASM","American Samoa","Восточное Самоа","EAP"
"ATG","Antigua and Barbuda","Антигуа и Барбуда","LCR"
"AUS","Australia","Австралия","EAP"
"AUT","Austria","Австрия","ECA"
"AZE","Azerbaijan","Азербайджан","ECA"
"BDI","Burundi","Бурунди","SSF"
"BEL","Belgium","Бельгия","ECA"
"BEN","Benin","Бенин","SSF"
"BFA","Burkina Faso","Буркина‐Фасо","SSF"
"BGD","Bangladesh","Бангладеш","SAR"
"BGR","Bulgaria","Болгария","ECA"
"BHR","Bahrain","Бахрейн","MNA"
"BHS","Bahamas, The","Багамы","LCR"
"BIH","Bosnia and Herzegovina","Босния и Герцеговина","ECA"
"BLR","Belarus","Беларусь","ECA"
"BLZ","Belize","Белиз","LCR"
"BMU","Bermuda","Бермуды","NAC"
"BOL","Bolivia","Боливия","LCR"
"BRA","Brazil","Бразилия","LCR"
"BRB","Barbados","Барбадос","LCR"
"BRN","Brunei Darussalam","Бруней Дарассалам","EAP"
"BTN","Bhutan","Бутан","SAR"
"BWA","Botswana","Ботсвана","SSF"
"CAF","Central African Republic","Центральноафриканская Республика","SSF"
"CAN","Canada","Канада","NAC"
"CHE","Switzerland","Швейцария","ECA"
"CHL","Chile","Чили","LCR"
"CHN","China","Китай","EAP"
"CIV","Cote d'Ivoire","Кот‐д'Ивуар","SSF"
"CMR","Cameroon","Камерун","SSF"
"COD","Congo, Dem. Rep.","Демократическая Республика Конго","SSF"
"COG","Congo, Rep.","Конго","SSF"
"COL","Colombia","Колумбия","LCR"
"COM","Comoros","Коморские острова","SSF"
"CPV","Cabo Verde","Кабо‐Верде","SSF"
"CRI","Costa Rica","Коста‐Рика","LCR"
"CUB","Cuba","Куба","LCR"
"CUW","Curacao","Кюрасао","LCR"
"CYM","Cayman Islands","Каймановы острова","LCR"
"CYP","Cyprus","Кипр","ECA"
"CZE","Czechia","Чехия","ECA"
"DEU","Germany","Германия","ECA"
"DJI","Djibouti","Джибути","MNA"
"DMA","Dominica","Доминика","LCR"
"DNK","Denmark","Дания","ECA"
"DOM","Dominican Republic","Доминиканская Республика","LCR"
"DZA","Algeria","Алжир","MNA"
"EAP","East Asia and Pacific","Азиатско-Тихоокеанский регион","WLD"
"ECA","Europe and Central Asia","Европа и Центральная Азия","WLD"
"ECU","Ecuador","Эквадор","LCR"
"EGY","Egypt, Arab Rep.","Египет","MNA"
"ERI","Eritrea","Эритрия","SSF"
"ESP","Spain","Испания","ECA"
"EST","Estonia","Эстония","ECA"
"ETH","Ethiopia","Эфиопия","SSF"
"FIN","Finland","Финляндия","ECA"
"FJI","Fiji","Фиджи","EAP"
"FRA","France","Франция","ECA"
"FRO","Faroe Islands","Фарерские острова","ECA"
"FSM","Micronesia, Fed. Sts.","Микронезия","EAP"
"GAB","Gabon","Габон","SSF"
"GBR","United Kingdom","Великобритания","ECA"
"GEO","Georgia","Грузия","ECA"
"GHA","Ghana","Гана","SSF"
"GIB","Gibraltar","Гибралтар","ECA"
"GIN","Guinea","Гвинея","SSF"
"GMB","Gambia, The","Гамбия","SSF"
"GNB","Guinea-Bissau","Гвинея‐Бисау","SSF"
"GNQ","Equatorial Guinea","Экваториальная Гвинея","SSF"
"GRC","Greece","Греция","ECA"
"GRD","Grenada","Гренада","LCR"
"GRL","Greenland","Гренландия","ECA"
"GTM","Guatemala","Гватемала","LCR"
"GUM","Guam","Гуам","EAP"
"GUY","Guyana","Гайана","LCR"
"HKG","Hong Kong SAR, China","Гонконг","EAP"
"HND","Honduras","Гондурас","LCR"
"HRV","Croatia","Хорватия","ECA"
"HTI","Haiti","Гаити","LCR"
"HUN","Hungary","Венгрия","ECA"
"IDN","Indonesia","Индонезия","EAP"
"IND","India","Индия","SAR"
"IRL","Ireland","Ирландия","ECA"
"IRN","Iran, Islamic Rep.","Иран","MNA"
"IRQ","Iraq","Ирак","MNA"
"ISL","Iceland","Исландия","ECA"
"ISR","Israel","Израиль","MNA"
"ITA","Italy","Италия","ECA"
"JAM","Jamaica","Ямайка","LCR"
"JOR","Jordan","Иордания","MNA"
"JPN","Japan","Япония","EAP"
"KAZ","Kazakhstan","Казахстан","ECA"
"KEN","Kenya","Кения","SSF"
"KGZ","Kyrgyz Republic","Киргизстан","ECA"
"KHM","Cambodia","Камбоджа","EAP"
"KIR","Kiribati","Кирибати","EAP"
"KNA","St. Kitts and Nevis","Сент‐Кристофер и Невис","LCR"
"KOR","Korea, Rep.","Южная Корея","EAP"
"KWT","Kuwait","Кувейт","MNA"
"LAO","Lao PDR","Лаос","EAP"
"LBN","Lebanon","Ливан","MNA"
"LBR","Liberia","Либерия","SSF"
"LBY","Libya","Ливия","MNA"
"LCA","St. Lucia","Сент‐Люсия","LCR"
"LCR","Latin America and Carribean","Латинская Америка и Карибский бассейн","WLD"
"LIE","Liechtenstein","Лихтенштейн","ECA"
"LKA","Sri Lanka","Шри‐Ланка","SAR"
"LSO","Lesotho","Лесото","SSF"
"LTU","Lithuania","Литва","ECA"
"LUX","Luxembourg","Люксембург","ECA"
"LVA","Latvia","Латвия","ECA"
"MAC","Macao SAR, China","Макао","EAP"
"MAR","Morocco","Марокко","MNA"
"MCO","Monaco","Монако","ECA"
"MDA","Moldova","Молдова","ECA"
"MDG","Madagascar","Мадагаскар","SSF"
"MDV","Maldives","Мальдивы","SAR"
"MEX","Mexico","Мексика","LCR"
"MHL","Marshall Islands","Маршалловы острова","EAP"
"MKD","North Macedonia","Македония","ECA"
"MLI","Mali","Мали","SSF"
"MLT","Malta","Мальта","MNA"
"MMR","Myanmar","Мьянма","EAP"
"MNA","Middle East and North Africa","Ближний Восток и Северная Африка","WLD"
"MNE","Montenegro","Черногория","ECA"
"MNG","Mongolia","Монголия","EAP"
"MOZ","Mozambique","Мозамбик","SSF"
"MRT","Mauritania","Мавритания","SSF"
"MUS","Mauritius","Маврикий","SSF"
"MWI","Malawi","Малави","SSF"
"MYS","Malaysia","Малайзия","EAP"
"NAC","North America","Северная Америка","WLD"
"NAM","Namibia","Намибия","SSF"
"NCL","New Caledonia","Новая Каледония","EAP"
"NER","Niger","Нигер","SSF"
"NGA","Nigeria","Нигерия","SSF"
"NIC","Nicaragua","Никарагуа","LCR"
"NLD","Netherlands","Нидерланды","ECA"
"NOR","Norway","Норвегия","ECA"
"NPL","Nepal","Непал","SAR"
"NRU","Nauru","Науру","EAP"
"NZL","New Zealand","Новая Зеландия","EAP"
"OMN","Oman","Оман","MNA"
"PAK","Pakistan","Пакистан","SAR"
"PAN","Panama","Панама","LCR"
"PER","Peru","Перу","LCR"
"PHL","Philippines","Филиппины","EAP"
"PLW","Palau","Палау","EAP"
"PNG","Papua New Guinea","Папуа‐Новая Гвинея","EAP"
"POL","Poland","Польша","ECA"
"PRI","Puerto Rico","Пуэрто‐Рико","LCR"
"PRK","Korea, Dem. People's Rep.","Северная Корея","EAP"
"PRT","Portugal","Португалия","ECA"
"PRY","Paraguay","Парагвай","LCR"
"PSE","West Bank and Gaza","Палестинская автономия","MNA"
"PYF","French Polynesia","Французская Полинезия","EAP"
"QAT","Qatar","Катар","MNA"
"ROU","Romania","Румыния","ECA"
"RUS","Russian Federation","Россия","ECA"
"RWA","Rwanda","Руанда","SSF"
"SAR","South Asia","Южная Азия","WLD"
"SAU","Saudi Arabia","Саудовская Аравия","MNA"
"SDN","Sudan","Судан","SSF"
"SEN","Senegal","Сенегал","SSF"
"SGP","Singapore","Сингапур","EAP"
"SLB","Solomon Islands","Соломоновы острова","EAP"
"SLE","Sierra Leone","Сьерра‐Леоне","SSF"
"SLV","El Salvador","Сальвадор","LCR"
"SMR","San Marino","Сан Марино","ECA"
"SOM","Somalia","Сомали","SSF"
"SRB","Serbia","Сербия","ECA"
"SSD","South Sudan","Южный Судан","SSF"
"SSF","Sub-Saharan Africa","Черная Африка","WLD"
"STP","Sao Tome and Principe","Сан‐Томе и Принсипи","SSF"
"SUR","Suriname","Суринам","LCR"
"SVK","Slovak Republic","Словакия","ECA"
"SVN","Slovenia","Словения","ECA"
"SWE","Sweden","Швеция","ECA"
"SWZ","Eswatini","Свазиленд","SSF"
"SXM","Sint Maarten (Dutch part)","Сен-Мартен","LCR"
"SYC","Seychelles","Сейшелы","SSF"
"SYR","Syrian Arab Republic","Сирия","MNA"
"TCA","Turks and Caicos Islands","Теркс и Кайкос острова","LCR"
"TCD","Chad","Чад","SSF"
"TGO","Togo","Того","SSF"
"THA","Thailand","Таиланд","EAP"
"TJK","Tajikistan","Таджикистан","ECA"
"TKM","Turkmenistan","Туркменистан","ECA"
"TLS","Timor-Leste","Восточный Тимор","EAP"
"TON","Tonga","Тонга","EAP"
"TTO","Trinidad and Tobago","Тринидад и Тобаго","LCR"
"TUN","Tunisia","Тунис","MNA"
"TUR","Turkiye","Турция","ECA"
"TUV","Tuvalu","Тувалу","EAP"
"TZA","Tanzania","Танзания","SSF"
"UGA","Uganda","Уганда","SSF"
"UKR","Ukraine","Украина","ECA"
"URY","Uruguay","Уругвай","LCR"
"USA","United States","Соединенные Штаты Америки","NAC"
"UZB","Uzbekistan","Узбекистан","ECA"
"VCT","St. Vincent and the Grenadines","Сен‐Винсент и Гренадины","LCR"
"VEN","Venezuela, RB","Венесуэла","LCR"
"VGB","British Virgin Islands","Виргинские острова","LCR"
"VIR","Virgin Islands (U.S.)","Виргинские острова","LCR"
"VNM","Vietnam","Вьетнам","EAP"
"VUT","Vanuatu","Вануату","EAP"
"WLD","World","Весь мир",NULL
"WSM","Samoa","Самоа","EAP"
"XKX","Kosovo","Косово","ECA"
"YEM","Yemen, Rep.","Йемен","MNA"
"ZAF","South Africa","Южная Африка","SSF"
"ZMB","Zambia","Замбия","SSF"
"ZWE","Zimbabwe","Зимбабве","SSF"
